2023-05-27 22:25:39 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：4000
     执行动作：1
     exploration_max: 1.0
     exploration_min: 0.02
     exploration_decay: 0.999999
     lr: 0.00025
     batch size: 32
     max_memory_size: 100000
     gamma: 0.9
     copy_step: 5000
     save_path: ./runs/exp11
     test_model_dir: runs/exp3
     desc: 
     render_mode: 3

2023-05-27 22:27:38 - INFO - Episode 2, total score=206, average score=523.00, exploration_rate=0.9988, 每步耗时：0.0000, 训练耗时：0.0798
2023-05-27 22:28:29 - INFO - Episode 3, total score=734, average score=593.33, exploration_rate=0.9982, 每步耗时：0.0000, 训练耗时：0.0813
2023-05-27 22:28:34 - INFO - Episode 4, total score=207, average score=496.75, exploration_rate=0.9982, 每步耗时：0.0000, 训练耗时：0.0814
2023-05-27 22:30:01 - INFO - Episode 5, total score=897, average score=576.80, exploration_rate=0.9973, 每步耗时：0.0000, 训练耗时：0.0817
2023-05-27 22:30:17 - INFO - Episode 6, total score=569, average score=575.50, exploration_rate=0.9971, 每步耗时：0.0000, 训练耗时：0.0796
2023-05-27 22:30:37 - INFO - Episode 7, total score=621, average score=582.00, exploration_rate=0.9969, 每步耗时：0.0000, 训练耗时：0.0794
2023-05-27 22:30:41 - INFO - Episode 8, total score=227, average score=537.62, exploration_rate=0.9968, 每步耗时：0.0001, 训练耗时：0.0797
2023-05-27 22:30:58 - INFO - Episode 9, total score=631, average score=548.00, exploration_rate=0.9966, 每步耗时：0.0000, 训练耗时：0.0793
2023-05-27 22:31:09 - INFO - Episode 10, total score=586, average score=551.80, exploration_rate=0.9965, 每步耗时：0.0000, 训练耗时：0.0792
2023-05-27 22:31:14 - INFO - Episode 11, total score=231, average score=522.64, exploration_rate=0.9965, 每步耗时：0.0000, 训练耗时：0.0801
2023-05-27 22:31:23 - INFO - Episode 12, total score=608, average score=529.75, exploration_rate=0.9964, 每步耗时：0.0000, 训练耗时：0.0796
2023-05-27 22:31:27 - INFO - Episode 13, total score=230, average score=506.69, exploration_rate=0.9963, 每步耗时：0.0000, 训练耗时：0.0796
2023-05-27 22:31:54 - INFO - Episode 14, total score=594, average score=512.93, exploration_rate=0.9960, 每步耗时：0.0000, 训练耗时：0.0792
2023-05-27 22:31:59 - INFO - Episode 15, total score=230, average score=494.07, exploration_rate=0.9960, 每步耗时：0.0001, 训练耗时：0.0794
2023-05-27 22:33:04 - INFO - Episode 16, total score=667, average score=504.88, exploration_rate=0.9952, 每步耗时：0.0000, 训练耗时：0.0797
2023-05-27 22:33:28 - INFO - Episode 17, total score=613, average score=511.24, exploration_rate=0.9950, 每步耗时：0.0000, 训练耗时：0.0800
2023-05-27 22:33:32 - INFO - Episode 18, total score=226, average score=495.39, exploration_rate=0.9949, 每步耗时：0.0000, 训练耗时：0.0807
2023-05-27 22:33:51 - INFO - Episode 19, total score=698, average score=506.05, exploration_rate=0.9947, 每步耗时：0.0000, 训练耗时：0.0795
2023-05-27 22:33:55 - INFO - Episode 20, total score=221, average score=491.80, exploration_rate=0.9947, 每步耗时：0.0000, 训练耗时：0.0802
